id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
7829192,one beautiful room in a cozy flat!,7714675,Wanda,Neukölln,Rixdorf,52.47545,13.44768,Private room,59,2,8,2016-06-05,0.10,1,0,0,
14768867,"City West Bed - Zoo, high quality appartement",91095638,Artur,Mitte,Tiergarten Süd,52.50668,13.34183,Private room,47,10,7,2018-08-31,0.10,1,0,0,
20132686,cosy apartment in box hagener platz,29515318,Amiram,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.50833,13.461,Entire home/apt,71,35,15,2022-05-06,0.31,2,239,3,
7867217,Cosy room in the middle of Berlin,40784796,Faye,Tempelhof - Schöneberg,Schöneberg-Nord,52.49626,13.36287,Private room,38,5,8,2018-08-11,0.10,1,0,0,
7885368,The Heart of Berlin,41569616,David R.,Pankow,Prenzlauer Berg Ost,52.52939,13.44965,Private room,48,2,3,2016-10-30,0.04,1,0,0,
7893689,Private minimalistic room w/ balcony in Neukölln,8275693,Ana Laura,Neukölln,Schillerpromenade,52.47588,13.42397,Private room,40,4,17,2019-05-08,0.23,1,0,0,
20013176,"Big bright room, with balcony",107010832,Hanna,Treptow - Köpenick,Niederschöneweide,52.45194,13.51668,Private room,30,3,2,2017-09-09,0.03,1,0,0,
22057083,Lovely Apartment in the center of Berlin,12957830,Maria,Mitte,Moabit Ost,52.52466,13.3536,Entire home/apt,50,1,1,2017-12-24,0.02,1,0,0,
7898035,"nice well located flat, publ transp",41642408,Alexander,Pankow,Pankow Süd,52.56276,13.41858,Entire home/apt,42,7,0,,,1,0,0,
7905622,central&charming @ Tempelhofer Feld,41687573,Alex,Tempelhof - Schöneberg,Tempelhof,52.46067,13.37861,Private room,30,1,0,,,1,0,0,
15010716,Berlin above Prenzlauer Berg,57305253,Anna-Maria,Pankow,Prenzlauer Berg Südwest,52.53845,13.42159,Private room,50,1,1,2016-09-19,0.01,1,0,0,
15047551,"Big, sunny and beautiful private room",95091425,Camila,Tempelhof - Schöneberg,Schöneberg-Nord,52.4959,13.35056,Private room,38,3,46,2018-10-28,0.66,2,0,0,
22061499,Cosy private room in Neukölln's Schillerkiez!,17682045,Samia,Neukölln,Schillerpromenade,52.47477,13.42398,Private room,35,2,6,2018-07-01,0.12,1,0,0,
2201228,Cosy Flat around Rosenthaler Platz,961411,Howy,Mitte,Alexanderplatz,52.52391,13.39991,Entire home/apt,65,3,109,2021-12-17,1.11,2,268,3,
29022524,Gorki Penthouse 1,42671030,Gorki Apartments,Mitte,Brunnenstr. Süd,52.5315,13.40227,Entire home/apt,1372,1,9,2022-05-28,0.28,6,177,4,"Legal entity name and Legal form: HRS Boardinghouse Betriebs-GmbH <br/>Legal representatives or Trade register number: HRB151645 AG Charlottenburg <br/> Entity address: Weinbergsweg 25, 10119 , Berlin, Deutschland <br/>Listing address: Weinbergweg 25, 10119, Berlin, Deutschland"
8018245,"Sehr schöne, elegante möblierte 1-Zimmer",42341081,Alexandra,Charlottenburg-Wilm.,Neue Kantstraße,52.50363,13.29588,Entire home/apt,45,20,0,,,1,0,0,
15370125,Minimalistic bedroom next to Berghain & Ostbanhof,98175487,Tom,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.51213,13.43701,Private room,39,3,1,2016-10-16,0.01,1,0,0,
8095807,Furniture Room 18sqm with balcony,42751688,Caroline,Neukölln,Rixdorf,52.47517,13.45105,Private room,25,3,9,2016-05-09,0.11,1,0,0,
15547373,"Central, bright and quiet 90m² flat with parkview",13631332,Fabian,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.50239,13.37749,Entire home/apt,120,5,14,2021-11-01,0.21,2,0,5,02/Z/RA/010066-19
8230644,2.5-rooms old flat near airport,29203939,Huan,Reinickendorf,West 1,52.58073,13.28974,Entire home/apt,40,5,0,,,1,0,0,
8244445,Nice bedroom in a shared flat!!,36029650,Claude,Mitte,Alexanderplatz,52.52122,13.4082,Private room,30,1,2,2015-09-25,0.02,2,0,0,
8245524,Bedroom available for 1 in Berlin,36029650,Claude,Mitte,Alexanderplatz,52.52056,13.40745,Private room,22,1,2,2015-09-21,0.02,2,0,0,
8305998,"Bright, beautiful & spacious unit",43792354,Amanda,Mitte,Brunnenstr. Süd,52.53157,13.38716,Entire home/apt,90,3,0,,,1,0,0,
198239,Fanstastic Studio Loft in Kreuzberg,868242,Happy Vegan,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.50301,13.41506,Entire home/apt,76,3,108,2021-10-04,0.99,1,0,2,
20282908,Beautiful Room In The Heart Of Kreuzberg,48872858,Robin,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49985,13.44412,Private room,30,1,0,,,1,0,0,
20291037,"schöne, grosse, retro Wohnung in Schöneberg",140756304,Doreen,Tempelhof - Schöneberg,Schöneberg-Süd,52.48252,13.34824,Private room,30,3,4,2021-06-11,0.13,1,0,0,
16025032,Minimalism,6546445,Lukas,Mitte,Alexanderplatz,52.5276,13.40986,Entire home/apt,100,2,8,2017-09-30,0.12,1,0,0,
16068043,private room in friedrichshain,16496827,Stas,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.51688,13.45801,Private room,38,1,0,,,1,0,0,
8437693,Authentic apartment with charakter,44426935,Arno,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49658,13.43192,Entire home/apt,68,7,3,2015-10-22,0.04,1,0,0,
16235841,Charming 3-Room Maisonette,106095044,U.,Pankow,Helmholtzplatz,52.54105,13.42124,Entire home/apt,70,5,9,2018-08-26,0.13,1,0,0,03/Z/RA/003497-18
8501615,Beautiful room in Wilmersdorf,41286554,Luise,Charlottenburg-Wilm.,Volkspark Wilmersdorf,52.48889,13.32784,Private room,25,3,6,2017-09-26,0.07,1,0,0,
476077,Cosy Penthouse + sunny patio in NK,2041933,Gorun,Neukölln,Reuterstraße,52.48805,13.44107,Entire home/apt,54,30,15,2018-12-19,0.15,1,0,0,
20374572,sunny room on top of neukölln,48235962,Lukas,Neukölln,Reuterstraße,52.48329,13.43506,Private room,32,1,4,2017-09-25,0.07,1,0,0,
545037,ROOF TERRACE DREAM CHARLOTTENBURG,2690936,Britt,Charlottenburg-Wilm.,Neue Kantstraße,52.50585,13.29594,Entire home/apt,73,60,4,2020-03-07,0.03,1,11,0,
550445,Cosy flat with garden + nice location,2701180,Sandrine,Mitte,Wedding Zentrum,52.55159,13.37746,Entire home/apt,39,6,9,2017-12-30,0.08,1,0,0,
20407857,Lovely rooms in Berlin Kreuzberg,145535056,Feras,Tempelhof - Schöneberg,Tempelhof,52.48182,13.38154,Private room,35,10,8,2019-07-02,0.16,1,0,0,
20418232,Studentenwohnung am Volkspark,145638315,Piet,Tempelhof - Schöneberg,Schöneberg-Süd,52.48131,13.34749,Entire home/apt,60,3,21,2019-09-10,0.36,1,0,0,
8699424,Furnished flat Authentic District,41077554,Cédric,Mitte,Moabit Ost,52.5341,13.35016,Entire home/apt,30,1,4,2016-02-27,0.05,1,0,0,
618049,Big room with sunny balcony !,2934825,Camille,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.50967,13.45671,Private room,30,3,49,2016-10-03,0.41,1,0,0,
16347953,"Spacious, bright room in the center of Neukölln",21345177,Aris,Neukölln,Neuköllner Mitte/Zentrum,52.47683,13.4313,Private room,23,3,5,2017-08-22,0.08,1,0,0,
16377646,Lovely flat in lively Fhain,13432989,Inga,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.51133,13.46156,Entire home/apt,25,1,1,2017-01-03,0.02,1,0,0,
20484979,Great apartment in city center,142090954,Qiaohui,Charlottenburg-Wilm.,Otto-Suhr-Allee,52.51407,13.31895,Shared room,18,2,2,2017-09-12,0.03,1,0,0,
8804066,20qm großes Zimmer zu Vermieten,46130963,Chung,Pankow,Pankow Süd,52.57032,13.42413,Private room,15,1,0,,,1,0,0,
683337,Am Mauerpark 3-Zi-Wohnung,3482823,Julia,Mitte,Brunnenstr. Nord,52.54188,13.39834,Entire home/apt,100,4,1,2015-01-03,0.01,2,0,0,
8845115,Beautiful room close to the river,11666861,Jovana,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.50073,13.46097,Private room,30,3,1,2016-01-03,0.01,1,0,0,
16436062,amazing room in trendy friedrichshains best street,53335761,Katharina,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.50865,13.4591,Private room,35,7,2,2017-04-13,0.03,1,0,0,
8863438,Room in Berlin Mitte( old building),45386071,Iris,Mitte,Moabit West,52.52941,13.33082,Private room,14,14,0,,,1,0,0,
16465773,Gemütliche Wohnung nähe Schloss Charlottenburg,89268468,Renan,Charlottenburg-Wilm.,Schloß Charlottenburg,52.51814,13.2949,Entire home/apt,99,3,0,,,1,0,0,
8898033,cosy flat in Neukölln Rixdorf,28494249,Jill,Neukölln,Rixdorf,52.47225,13.44858,Entire home/apt,54,1,1,2015-10-25,0.01,1,0,0,
